pass_id,pass_role,runtime,target_framework,workload,unit,mean,error,stddev,median,n,allocated_bytes_per_batch,gen0_per_1000_batches,gen1_per_1000_batches,gen2_per_1000_batches
pass1,primary,8.0.31,net8.0,AggregateWindTelemetry,ns/batch,1191.6090647379558,2.7299926708120132,2.55363683925789,1191.0432815551758,15,0,0.0,0.0,0.0
pass1,primary,8.0.31,net8.0,EvaluatePaymentRisk,ns/batch,809.1760635375977,6.234730583060226,5.526926267859342,808.3045959472656,14,0,0.0,0.0,0.0
pass1,primary,8.0.31,net8.0,ParseParcelScans,ns/batch,3815.2686564127603,8.338897962814354,7.800210331818006,3812.1337890625,15,0,0.0,0.0,0.0
pass1,primary,8.0.31,net8.0,ResolveInventory,ns/batch,11524.438585553851,34.573344761340394,30.648369610129723,11519.022369384766,14,0,0.0,0.0,0.0
pass1,primary,8.0.31,net8.0,SortScanSequence,ns/batch,7533.189595540364,34.87443153780713,32.621564913078075,7531.876373291016,15,8216,0.16021728515625,0.0,0.0
pass1,primary,8.0.31,net8.0,TransformCheckpoints,ns/batch,861.2702369689941,3.366685630607554,3.149199829156478,860.3533744812012,15,10264,0.2040863037109375,0.00762939453125,0.0
pass1,primary,10.0.12,net10.0,AggregateWindTelemetry,ns/batch,1147.7564175923665,1.548821104343478,1.2092176414248932,1147.4334716796875,12,0,0.0,0.0,0.0
pass1,primary,10.0.12,net10.0,EvaluatePaymentRisk,ns/batch,1037.322146097819,7.727439646590749,7.228251843184132,1036.6891860961914,15,0,0.0,0.0,0.0
pass1,primary,10.0.12,net10.0,ParseParcelScans,ns/batch,3701.4293416341147,11.131610209522686,10.412515101310241,3700.6214141845703,15,0,0.0,0.0,0.0
pass1,primary,10.0.12,net10.0,ResolveInventory,ns/batch,6069.130198160808,43.98402021122015,41.14267981409157,6047.0001220703125,15,0,0.0,0.0,0.0
pass1,primary,10.0.12,net10.0,SortScanSequence,ns/batch,7318.236214773996,29.15046009169018,25.841123598618793,7324.102020263672,14,8216,0.16021728515625,0.0,0.0
pass1,primary,10.0.12,net10.0,TransformCheckpoints,ns/batch,827.7752431233724,5.574667264459787,5.214547220339326,830.7424545288086,15,10264,0.2040863037109375,0.00762939453125,0.0
pass1,primary,11.0.0-rc.1.26425.128,net11.0,AggregateWindTelemetry,ns/batch,1152.4431864420574,3.206235016261928,2.999114224878032,1152.3187637329102,15,0,0.0,0.0,0.0
pass1,primary,11.0.0-rc.1.26425.128,net11.0,EvaluatePaymentRisk,ns/batch,1037.3394393920898,6.026184285367452,5.636896522031346,1037.7113342285156,15,0,0.0,0.0,0.0
pass1,primary,11.0.0-rc.1.26425.128,net11.0,ParseParcelScans,ns/batch,3602.7579380915713,4.692997670118738,3.9188656024318362,3601.8848419189453,13,0,0.0,0.0,0.0
pass1,primary,11.0.0-rc.1.26425.128,net11.0,ResolveInventory,ns/batch,5952.336184183757,17.903017365282796,13.97749835156895,5958.048629760742,12,0,0.0,0.0,0.0
pass1,primary,11.0.0-rc.1.26425.128,net11.0,SortScanSequence,ns/batch,6967.5543212890625,15.560376484211906,14.555185824358526,6965.563201904297,15,8216,0.16021728515625,0.0,0.0
pass1,primary,11.0.0-rc.1.26425.128,net11.0,TransformCheckpoints,ns/batch,841.4691861470541,6.437283804918287,6.021439267860029,841.8971061706543,15,10264,0.2040863037109375,0.00762939453125,0.0
pass2,replication,8.0.31,net8.0,AggregateWindTelemetry,ns/batch,1224.1942977905273,9.27506727344677,8.675903686226363,1223.5876083374023,15,0,0.0,0.0,0.0
pass2,replication,8.0.31,net8.0,EvaluatePaymentRisk,ns/batch,807.0571899414062,8.284438119119232,7.7492685602129106,807.2385787963867,15,0,0.0,0.0,0.0
pass2,replication,8.0.31,net8.0,ParseParcelScans,ns/batch,3826.0184733072915,7.173902490074261,6.710472843302011,3826.311492919922,15,0,0.0,0.0,0.0
pass2,replication,8.0.31,net8.0,ResolveInventory,ns/batch,11537.501729329428,51.406954105181306,48.0860967872064,11523.2666015625,15,0,0.0,0.0,0.0
pass2,replication,8.0.31,net8.0,SortScanSequence,ns/batch,7503.615824381511,29.879195514008302,27.949018035006556,7505.809783935547,15,8216,0.16021728515625,0.0,0.0
pass2,replication,8.0.31,net8.0,TransformCheckpoints,ns/batch,867.2759755452474,9.928270570863102,9.286910456186273,866.6170120239258,15,10264,0.2040863037109375,0.00667572021484375,0.0
pass2,replication,10.0.12,net10.0,AggregateWindTelemetry,ns/batch,1147.5698607308525,1.7476394326611868,1.5492368368515606,1147.2933769226074,14,0,0.0,0.0,0.0
pass2,replication,10.0.12,net10.0,EvaluatePaymentRisk,ns/batch,1039.1552098592122,8.096122995257364,7.573118476432634,1040.5342102050781,15,0,0.0,0.0,0.0
pass2,replication,10.0.12,net10.0,ParseParcelScans,ns/batch,3690.070775349935,30.802036493681314,28.81224406036028,3676.5918731689453,15,0,0.0,0.0,0.0
pass2,replication,10.0.12,net10.0,ResolveInventory,ns/batch,6042.123921712239,14.085584947908135,13.175664905640872,6040.9271240234375,15,0,0.0,0.0,0.0
pass2,replication,10.0.12,net10.0,SortScanSequence,ns/batch,7138.702719552176,35.98501322058332,31.89977692997395,7143.514251708984,14,8216,0.16021728515625,0.0,0.0
pass2,replication,10.0.12,net10.0,TransformCheckpoints,ns/batch,831.7929880959647,5.3001651783338,4.698458378894077,833.3025932312012,14,10264,0.2040863037109375,0.00762939453125,0.0
pass2,replication,11.0.0-rc.1.26425.128,net11.0,AggregateWindTelemetry,ns/batch,1148.5340881347656,2.357185978345148,2.204913227658557,1148.567771911621,15,0,0.0,0.0,0.0
pass2,replication,11.0.0-rc.1.26425.128,net11.0,EvaluatePaymentRisk,ns/batch,710.0424385070801,7.1799535413741165,6.716133000444833,708.3328247070312,15,0,0.0,0.0,0.0
pass2,replication,11.0.0-rc.1.26425.128,net11.0,ParseParcelScans,ns/batch,3572.6673126220703,10.853467611308337,9.621316340642458,3574.1146087646484,14,0,0.0,0.0,0.0
pass2,replication,11.0.0-rc.1.26425.128,net11.0,ResolveInventory,ns/batch,5951.820264543806,12.56933341618271,11.14238668405848,5950.6988525390625,14,0,0.0,0.0,0.0
pass2,replication,11.0.0-rc.1.26425.128,net11.0,SortScanSequence,ns/batch,6951.516520182292,11.855762110993313,11.08988723955265,6951.091003417969,15,8216,0.16021728515625,0.0,0.0
pass2,replication,11.0.0-rc.1.26425.128,net11.0,TransformCheckpoints,ns/batch,836.247832434518,3.928437086926164,3.4824571548219074,835.0749015808105,14,10264,0.2040863037109375,0.00762939453125,0.0
