runtime,workload,launch_index,unit,mean,stddev,median,n,quality
8.0.31,ResolveInventory,1,ns/batch,11941.361882136418,147.7615735122837,11969.4091796875,13,potential_interference
8.0.31,ResolveInventory,2,ns/batch,11969.92656162807,77.83930962678515,11961.907196044922,14,potential_interference
8.0.31,ResolveInventory,3,ns/batch,12127.584721491887,50.38232975896662,12128.076171875,13,potential_interference
8.0.31,EvaluatePaymentRisk,1,ns/batch,809.6846140347994,4.816880922336752,807.4307441711426,13,potential_interference
8.0.31,EvaluatePaymentRisk,2,ns/batch,848.0011525361434,20.48099260975522,840.9377098083496,23,potential_interference
8.0.31,EvaluatePaymentRisk,3,ns/batch,819.0666580200195,20.165579194889478,809.4825744628906,25,potential_interference
10.0.12,ResolveInventory,1,ns/batch,6201.991741473858,22.850148320205708,6191.41845703125,13,supplemental
10.0.12,ResolveInventory,2,ns/batch,6185.83732018104,44.70487172840359,6173.754119873047,13,supplemental
10.0.12,ResolveInventory,3,ns/batch,6176.398409329928,18.96929908028353,6177.458953857422,13,supplemental
10.0.12,EvaluatePaymentRisk,1,ns/batch,771.2231190999349,6.595344286667148,770.5778121948242,15,supplemental
10.0.12,EvaluatePaymentRisk,2,ns/batch,770.9825277328491,14.62499358999082,763.6848449707031,20,supplemental
10.0.12,EvaluatePaymentRisk,3,ns/batch,1061.0159465244838,8.575075738433457,1058.8462829589844,14,supplemental
11.0.0-rc.1.26425.128,ResolveInventory,1,ns/batch,6077.3988087972,31.634792385121564,6073.129653930664,12,supplemental
11.0.0-rc.1.26425.128,ResolveInventory,2,ns/batch,6124.517331804548,28.425639819705868,6119.632339477539,14,supplemental
11.0.0-rc.1.26425.128,ResolveInventory,3,ns/batch,6177.128376680262,123.41368480436041,6130.228424072266,17,supplemental
11.0.0-rc.1.26425.128,EvaluatePaymentRisk,1,ns/batch,1061.4061502309946,4.012934650008016,1061.7307662963867,13,supplemental
11.0.0-rc.1.26425.128,EvaluatePaymentRisk,2,ns/batch,730.5339226355919,6.136303695361701,730.1486015319824,13,supplemental
11.0.0-rc.1.26425.128,EvaluatePaymentRisk,3,ns/batch,1061.3525799342565,5.347108896037358,1062.0495796203613,14,supplemental
